user_id,group,converted
1,A,0
2,A,0
3,A,0
4,A,0
5,A,0
6,A,0
7,A,0
8,A,0
9,B,1
10,A,0
11,B,0
12,B,0
13,A,0
14,B,0
15,B,0
16,A,0
17,A,0
18,B,0
19,A,1
20,A,0
21,B,0
22,B,0
23,B,1
24,B,1
25,A,0
26,A,0
27,B,0
28,B,0
29,A,0
30,B,0
31,A,0
32,B,0
33,B,0
34,A,0
35,A,0
36,B,1
37,B,0
38,A,0
39,A,0
40,A,0
41,B,0
42,B,0
43,A,0
44,B,0
45,A,0
46,A,0
47,A,0
48,A,0
49,B,1
50,B,0
51,B,0
52,B,0
53,A,0
54,B,0
55,A,1
56,A,1
57,B,0
58,A,0
59,B,0
60,A,0
61,A,0
62,B,0
63,B,1
64,B,0
65,A,0
66,B,0
67,B,0
68,B,0
69,B,0
70,A,0
71,B,0
72,A,0
73,B,0
74,B,1
75,A,0
76,A,0
77,B,0
78,A,0
79,B,1
80,A,0
81,B,0
82,A,0
83,B,0
84,A,0
85,A,0
86,B,0
87,A,0
88,A,0
89,B,0
90,B,0
91,A,0
92,B,1
93,A,0
94,A,0
95,B,0
96,B,0
97,B,0
98,B,0
99,B,0
100,B,0
101,B,0
102,B,0
103,A,0
104,B,0
105,A,0
106,A,0
107,B,0
108,B,0
109,A,0
110,A,0
111,B,0
112,B,0
113,B,0
114,A,0
115,B,0
116,B,0
117,A,0
118,B,0
119,A,1
120,B,0
121,B,0
122,B,0
123,A,0
124,B,0
125,A,0
126,A,0
127,B,0
128,B,0
129,B,0
130,A,0
131,A,0
132,B,0
133,A,0
134,B,0
135,B,0
136,A,0
137,B,0
138,B,0
139,A,0
140,A,0
141,B,0
142,A,0
143,B,0
144,B,0
145,B,0
146,B,0
147,B,0
148,B,0
149,B,0
150,A,1
151,B,0
152,B,0
153,A,0
154,A,0
155,A,0
156,A,0
157,B,0
158,A,0
159,A,0
160,B,0
161,A,0
162,A,0
163,A,0
164,B,0
165,B,0
166,B,0
167,A,0
168,B,0
169,B,0
170,B,1
171,B,0
172,A,0
173,B,0
174,B,0
175,A,0
176,B,0
177,B,0
178,A,0
179,B,0
180,A,0
181,A,0
182,A,0
183,B,0
184,A,0
185,B,0
186,A,1
187,A,0
188,A,0
189,B,0
190,B,0
191,A,0
192,B,1
193,B,0
194,A,0
195,B,0
196,B,0
197,A,0
198,B,0
199,B,0
200,B,1
201,B,0
202,B,0
203,B,0
204,B,0
205,B,1
206,B,0
207,B,0
208,B,0
209,B,0
210,B,0
211,B,0
212,B,0
213,A,0
214,B,0
215,A,0
216,B,0
217,B,0
218,B,1
219,A,0
220,A,0
221,A,0
222,B,0
223,A,0
224,B,0
225,B,0
226,B,0
227,B,0
228,A,0
229,B,0
230,B,0
231,B,1
232,B,0
233,B,0
234,A,0
235,A,0
236,B,0
237,A,0
238,B,0
239,A,1
240,A,0
241,B,0
242,A,0
243,A,1
244,A,0
245,B,0
246,B,0
247,A,0
248,B,0
249,B,0
250,A,0
251,B,0
252,A,0
253,A,0
254,A,1
255,A,0
256,B,0
257,B,0
258,B,0
259,A,1
260,A,0
261,A,0
262,A,0
263,A,0
264,A,0
265,B,0
266,B,0
267,A,0
268,A,1
269,B,0
270,B,0
271,B,0
272,B,0
273,A,0
274,A,0
275,B,0
276,A,0
277,B,0
278,B,0
279,B,0
280,A,1
281,A,0
282,A,0
283,B,1
284,B,0
285,B,0
286,B,1
287,A,0
288,B,0
289,A,0
290,B,0
291,A,0
292,A,0
293,B,0
294,A,0
295,A,0
296,B,0
297,B,0
298,A,0
299,B,1
300,B,0
301,A,0
302,B,0
303,A,0
304,B,0
305,A,0
306,A,0
307,B,0
308,A,1
309,A,0
310,A,0
311,B,0
312,A,0
313,A,0
314,B,0
315,B,0
316,B,0
317,B,0
318,B,0
319,A,0
320,A,0
321,B,0
322,A,0
323,B,0
324,B,0
325,A,0
326,B,0
327,A,1
328,A,1
329,A,1
330,B,1
331,B,0
332,A,0
333,B,0
334,A,0
335,A,0
336,B,0
337,A,0
338,B,0
339,A,0
340,A,0
341,B,0
342,A,0
343,A,0
344,B,0
345,A,0
346,A,0
347,B,0
348,B,0
349,A,0
350,A,0
351,B,0
352,A,0
353,A,0
354,A,0
355,B,0
356,B,0
357,A,0
358,A,0
359,B,0
360,A,0
361,A,0
362,B,0
363,B,0
364,A,0
365,A,0
366,B,0
367,B,0
368,B,0
369,B,0
370,B,0
371,B,0
372,A,0
373,B,0
374,B,0
375,A,0
376,B,0
377,A,0
378,A,0
379,A,0
380,A,0
381,B,0
382,B,0
383,B,0
384,B,1
385,A,0
386,A,0
387,B,0
388,A,0
389,A,0
390,A,0
391,A,0
392,A,0
393,A,1
394,A,1
395,B,0
396,B,0
397,A,0
398,A,0
399,B,0
400,A,1
401,B,0
402,A,0
403,A,0
404,A,0
405,B,0
406,A,0
407,B,0
408,B,0
409,B,0
410,B,0
411,A,0
412,A,0
413,B,1
414,A,0
415,A,0
416,A,0
417,B,0
418,B,0
419,B,0
420,A,0
421,A,0
422,B,0
423,B,0
424,A,0
425,A,0
426,A,0
427,B,0
428,B,0
429,B,0
430,B,0
431,A,0
432,A,1
433,A,0
434,B,0
435,B,1
436,A,0
437,A,0
438,A,0
439,B,0
440,A,0
441,B,0
442,B,0
443,B,0
