user_id,group,converted
1,A,0
2,A,0
3,B,0
4,B,0
5,B,0
6,A,1
7,B,0
8,A,0
9,B,0
10,A,0
11,A,0
12,A,0
13,A,0
14,A,0
15,B,0
16,B,0
17,A,0
18,A,0
19,A,0
20,A,0
21,A,0
22,A,0
23,B,0
24,A,0
25,A,0
26,B,0
27,A,0
28,A,0
29,B,0
30,A,0
31,B,0
32,B,0
33,A,0
34,B,0
35,A,0
36,B,0
37,A,0
38,A,0
39,B,0
40,A,0
41,A,0
42,A,0
43,A,0
44,B,0
45,B,1
46,A,0
47,A,0
48,A,0
49,B,0
50,B,0
51,B,0
52,A,0
53,A,0
54,B,0
55,A,0
56,B,0
57,B,0
58,B,0
59,A,0
60,A,1
61,A,0
62,B,0
63,A,0
64,A,0
65,B,0
66,B,1
67,B,0
68,A,0
69,B,0
70,B,0
71,A,0
72,B,0
73,A,0
74,B,0
75,B,0
76,A,0
77,B,0
78,B,0
79,A,0
80,A,0
81,A,0
82,B,0
83,B,0
84,A,0
85,A,0
86,A,0
87,A,0
88,A,0
89,B,0
90,B,0
91,B,0
92,A,0
93,A,0
94,B,0
95,B,0
96,B,0
97,B,0
98,B,0
99,A,0
100,A,1
101,A,0
102,B,0
103,B,0
104,B,0
105,A,1
106,B,0
107,A,0
108,B,0
109,B,1
110,B,0
111,B,0
112,B,0
113,A,0
114,B,0
115,B,0
116,A,0
117,A,0
118,B,0
119,B,0
120,B,0
121,A,0
122,A,0
123,B,0
124,B,0
125,A,0
126,A,0
127,B,0
128,B,0
129,A,0
130,B,0
131,B,1
132,B,0
133,A,0
134,A,0
135,A,0
136,B,0
137,B,0
138,B,0
139,A,0
140,A,0
141,B,0
142,B,0
143,B,0
144,B,0
145,A,0
146,A,0
147,A,0
148,A,0
149,B,1
150,A,0
151,B,0
152,B,0
153,A,0
154,B,0
155,A,0
156,B,0
157,A,1
158,B,0
159,B,0
160,A,0
161,A,0
162,A,0
163,B,0
164,B,0
165,A,0
166,B,0
167,B,0
168,A,0
169,A,0
170,A,0
171,B,0
172,A,1
173,B,0
174,B,0
175,A,0
176,B,0
177,A,0
178,A,0
179,A,0
180,B,0
181,A,1
182,A,0
183,B,0
184,A,0
185,B,0
186,B,0
187,B,0
188,B,1
189,A,0
190,A,1
191,B,0
192,A,1
193,A,0
194,A,0
195,B,0
196,B,1
197,B,0
198,B,0
199,B,1
200,A,0
201,B,0
202,A,0
203,B,0
204,A,0
205,B,0
206,B,0
207,A,0
208,B,0
209,A,0
210,A,0
211,B,0
212,A,0
213,A,0
214,B,1
215,A,0
216,A,0
217,A,1
218,A,0
219,B,0
220,B,0
221,B,1
222,B,0
223,A,0
224,B,0
225,B,0
226,A,0
227,B,0
228,B,0
229,A,0
230,B,0
231,A,0
232,A,0
233,B,0
234,B,0
235,B,0
236,A,0
237,A,0
238,B,0
239,A,0
240,A,0
241,B,1
242,B,1
243,A,0
244,B,1
245,A,0
246,A,0
247,B,0
248,B,0
249,B,1
250,A,0
251,A,0
252,B,0
253,A,0
254,A,0
255,A,0
256,A,0
257,B,1
258,A,0
259,B,1
260,A,0
261,B,0
262,B,0
263,A,0
264,B,0
265,A,0
266,B,1
267,B,1
268,A,0
269,B,0
270,B,0
271,A,0
272,A,0
273,B,0
274,B,0
275,A,0
276,B,0
277,B,0
278,A,0
279,A,0
280,A,0
281,B,0
282,A,0
283,B,0
284,A,0
285,B,0
286,B,0
287,B,0
288,A,0
289,A,0
290,A,0
291,B,0
292,A,0
293,A,0
294,B,0
295,B,0
296,A,0
297,A,0
298,B,1
299,A,0
300,B,0
301,A,0
302,A,0
303,A,0
304,B,0
305,A,0
306,B,0
307,B,0
308,B,0
309,A,0
310,B,0
311,A,1
312,B,0
313,A,1
314,B,0
315,B,0
316,A,0
317,A,0
318,B,0
319,B,0
320,A,0
321,B,0
322,B,0
323,A,1
324,B,0
325,A,0
326,B,0
327,A,0
328,A,0
329,B,0
330,B,0
331,B,0
332,B,0
333,A,0
334,A,0
335,B,0
336,B,0
337,A,1
338,A,0
339,A,0
340,A,0
341,B,0
342,A,0
343,A,0
344,A,0
345,B,0
346,A,0
347,B,0
348,B,0
349,A,0
350,A,0
351,B,0
352,A,0
353,B,0
354,B,0
355,B,0
356,B,0
357,A,0
358,A,0
359,B,0
360,B,1
361,B,0
362,B,0
363,B,1
364,A,0
365,B,0
366,B,0
367,A,1
368,A,0
369,B,1
370,A,0
371,A,0
372,B,0
373,B,1
374,A,0
375,A,0
376,A,0
377,B,0
378,B,0
379,A,0
380,A,0
381,B,0
382,A,0
383,B,1
384,A,0
385,B,1
386,B,0
387,A,1
388,B,1
389,A,0
390,B,0
391,A,0
392,B,0
393,A,0
394,A,0
395,A,0
396,B,0
397,B,0
398,A,0
399,B,0
400,A,0
401,A,0
402,A,0
403,B,1
404,A,0
405,A,0
406,A,1
407,A,0
408,B,0
409,B,0
410,A,0
411,B,0
412,B,0
413,A,0
414,A,0
415,A,0
416,B,0
417,B,0
418,B,0
419,A,0
420,A,0
421,A,0
422,B,0
423,A,0
424,A,0
425,A,0
426,B,0
427,A,0
428,A,0
429,B,1
430,A,0
431,B,0
432,A,1
433,B,0
434,A,0
435,A,0
436,A,0
437,A,0
438,B,0
439,B,0
440,B,0
441,A,0
442,B,0
443,B,0
